case_id	name	category	signature	expected_hex	inspiration
case_0035	crc16-ccitt--gray-decode-sub-borrow-add-carry-023	checksums	gray-decode,sub-borrow,add-carry,switch-phi,carry-chain,gray-decode,multiply-low,mask-merge,array-scatter,horner-loop,byte-pack,popcount-loop	0xd83e4582	https://github.com/embench/embench-iot
case_0036	crc16-ccitt--minmax-clamp-sub-borrow-add-carry-024	checksums	minmax-clamp,sub-borrow,add-carry,mask-merge,add-carry,add-carry,rotate-mix,array-scatter,reverse-loop,minmax-clamp,sub-borrow,sub-borrow	0x2c9e011c	https://github.com/embench/embench-iot
case_0037	crc16-ccitt--endian-swap-sub-borrow-add-carry-025	checksums	endian-swap,sub-borrow,add-carry,divide-rem,multiply-low,compare-select,minmax-clamp,halfword-swap,sub-borrow,sub-borrow,popcount-loop,add-carry	0xeccb1d47	https://github.com/embench/embench-iot
case_0038	crc16-ccitt--carry-chain-sub-borrow-add-carry-026	checksums	carry-chain,sub-borrow,add-carry,horner-loop,switch-phi,add-carry,short-circuit,popcount-loop,carry-chain,multiply-low,multiply-low,minmax-clamp	0x38f4660c	https://github.com/embench/embench-iot
case_0039	crc16-ccitt--horner-loop-sub-borrow-add-carry-027	checksums	horner-loop,sub-borrow,add-carry,carry-chain,divide-rem,counted-loop,reverse-loop,short-circuit,popcount-loop,rotate-mix,multiply-low,array-scatter	0xe988706d	https://github.com/embench/embench-iot
case_0040	crc16-ccitt--add-carry-rotate-mix-add-carry-028	checksums	add-carry,rotate-mix,add-carry,rotate-mix,counted-loop,carry-chain,array-scatter,horner-loop,multiply-low,multiply-low,rotate-mix,multiply-low	0x954e5ea0	https://github.com/embench/embench-iot
case_0041	crc16-ccitt--sub-borrow-rotate-mix-add-carry-029	checksums	sub-borrow,rotate-mix,add-carry,multiply-low,mask-merge,halfword-swap,byte-pack,carry-chain,divide-rem,reverse-loop,counted-loop,carry-chain	0xfa1dd9d6	https://github.com/embench/embench-iot
case_0042	crc16-ccitt--rotate-mix-rotate-mix-add-carry-02a	checksums	rotate-mix,rotate-mix,add-carry,short-circuit,endian-swap,reverse-loop,horner-loop,multiply-low,horner-loop,minmax-clamp,add-carry,rotate-mix	0xa940f69e	https://github.com/embench/embench-iot
case_0043	crc16-ccitt--multiply-low-rotate-mix-add-carry-02b	checksums	multiply-low,rotate-mix,add-carry,popcount-loop,reverse-loop,divide-rem,mask-merge,carry-chain,minmax-clamp,sub-borrow,short-circuit,multiply-low	0x4d68ec2c	https://github.com/embench/embench-iot
case_0044	crc16-ccitt--divide-rem-rotate-mix-add-carry-02c	checksums	divide-rem,rotate-mix,add-carry,switch-phi,halfword-swap,switch-phi,halfword-swap,counted-loop,horner-loop,carry-chain,compare-select,gray-decode	0xfc71ef68	https://github.com/embench/embench-iot
case_0045	crc16-ccitt--mask-merge-rotate-mix-add-carry-02d	checksums	mask-merge,rotate-mix,add-carry,counted-loop,multiply-low,popcount-loop,carry-chain,horner-loop,minmax-clamp,multiply-low,compare-select,carry-chain	0xe62db56c	https://github.com/embench/embench-iot
case_0046	crc16-ccitt--compare-select-rotate-mix-add-carry-02e	checksums	compare-select,rotate-mix,add-carry,sub-borrow,multiply-low,horner-loop,compare-select,carry-chain,horner-loop,sub-borrow,minmax-clamp,compare-select	0x39e99e3c	https://github.com/embench/embench-iot
case_0047	crc16-ccitt--byte-pack-rotate-mix-add-carry-02f	checksums	byte-pack,rotate-mix,add-carry,add-carry,divide-rem,array-scatter,divide-rem,multiply-low,short-circuit,add-carry,halfword-swap,multiply-low	0x1ad0a570	https://github.com/embench/embench-iot
case_0048	crc16-ccitt--halfword-swap-rotate-mix-add-carry-030	checksums	halfword-swap,rotate-mix,add-carry,divide-rem,rotate-mix,multiply-low,carry-chain,switch-phi,horner-loop,array-scatter,divide-rem,switch-phi	0xa5513f38	https://github.com/embench/embench-iot
case_0049	crc16-ccitt--array-scatter-rotate-mix-add-carry-031	checksums	array-scatter,rotate-mix,add-carry,array-scatter,endian-swap,popcount-loop,halfword-swap,rotate-mix,halfword-swap,short-circuit,minmax-clamp,compare-select	0x60ddc75f	https://github.com/embench/embench-iot
case_0050	fletcher32-words--counted-loop-rotate-mix-add-carry-032	checksums	counted-loop,rotate-mix,add-carry,carry-chain,popcount-loop,multiply-low,add-carry,horner-loop,switch-phi,reverse-loop,reverse-loop,compare-select	0x07d3bd58	https://github.com/embench/embench-iot
case_0051	fletcher32-words--switch-phi-rotate-mix-add-carry-033	checksums	switch-phi,rotate-mix,add-carry,multiply-low,compare-select,mask-merge,carry-chain,compare-select,halfword-swap,byte-pack,carry-chain,multiply-low	0xd6c54599	https://github.com/embench/embench-iot
case_0052	fletcher32-words--short-circuit-rotate-mix-add-carry-034	checksums	short-circuit,rotate-mix,add-carry,mask-merge,minmax-clamp,reverse-loop,switch-phi,reverse-loop,multiply-low,halfword-swap,divide-rem,multiply-low	0x0b59515e	https://github.com/embench/embench-iot
case_0053	fletcher32-words--popcount-loop-rotate-mix-add-carry-035	checksums	popcount-loop,rotate-mix,add-carry,halfword-swap,byte-pack,halfword-swap,mask-merge,byte-pack,halfword-swap,array-scatter,divide-rem,reverse-loop	0x14e78e64	https://github.com/embench/embench-iot
case_0054	fletcher32-words--reverse-loop-rotate-mix-add-carry-036	checksums	reverse-loop,rotate-mix,add-carry,horner-loop,multiply-low,rotate-mix,endian-swap,counted-loop,multiply-low,switch-phi,carry-chain,counted-loop	0x8f22c135	https://github.com/embench/embench-iot
case_0055	fletcher32-words--gray-decode-rotate-mix-add-carry-037	checksums	gray-decode,rotate-mix,add-carry,rotate-mix,divide-rem,halfword-swap,gray-decode,horner-loop,halfword-swap,compare-select,compare-select,gray-decode	0x61f9b53d	https://github.com/embench/embench-iot
case_0056	fletcher32-words--minmax-clamp-rotate-mix-add-carry-038	checksums	minmax-clamp,rotate-mix,add-carry,counted-loop,carry-chain,divide-rem,add-carry,halfword-swap,counted-loop,horner-loop,byte-pack,popcount-loop	0xd6a104bd	https://github.com/embench/embench-iot
case_0057	fletcher32-words--endian-swap-rotate-mix-add-carry-039	checksums	endian-swap,rotate-mix,add-carry,gray-decode,sub-borrow,carry-chain,counted-loop,endian-swap,sub-borrow,compare-select,byte-pack,add-carry	0x28c3b243	https://github.com/embench/embench-iot
case_0058	fletcher32-words--carry-chain-rotate-mix-add-carry-03a	checksums	carry-chain,rotate-mix,add-carry,add-carry,sub-borrow,minmax-clamp,reverse-loop,add-carry,compare-select,add-carry,endian-swap,add-carry	0xeb1220eb	https://github.com/embench/embench-iot
case_0059	fletcher32-words--horner-loop-rotate-mix-add-carry-03b	checksums	horner-loop,rotate-mix,add-carry,mask-merge,compare-select,carry-chain,short-circuit,array-scatter,array-scatter,endian-swap,popcount-loop,popcount-loop	0xf261a44d	https://github.com/embench/embench-iot
case_0060	fletcher32-words--add-carry-multiply-low-add-carry-03c	checksums	add-carry,multiply-low,add-carry,switch-phi,minmax-clamp,mask-merge,endian-swap,sub-borrow,compare-select,counted-loop,byte-pack,popcount-loop	0x65198705	https://github.com/embench/embench-iot
case_0061	fletcher32-words--sub-borrow-multiply-low-add-carry-03d	checksums	sub-borrow,multiply-low,add-carry,reverse-loop,horner-loop,multiply-low,horner-loop,halfword-swap,mask-merge,gray-decode,horner-loop,divide-rem	0x15d4c9c9	https://github.com/embench/embench-iot
case_0062	fletcher32-words--rotate-mix-multiply-low-add-carry-03e	checksums	rotate-mix,multiply-low,add-carry,sub-borrow,gray-decode,mask-merge,horner-loop,popcount-loop,carry-chain,endian-swap,sub-borrow,short-circuit	0x25d31dc1	https://github.com/embench/embench-iot
case_0063	fletcher32-words--multiply-low-multiply-low-add-carry-03f	checksums	multiply-low,multiply-low,add-carry,divide-rem,divide-rem,horner-loop,array-scatter,add-carry,sub-borrow,add-carry,sub-borrow,endian-swap	0x682d6dcd	https://github.com/embench/embench-iot
case_0064	fletcher32-words--divide-rem-multiply-low-add-carry-040	checksums	divide-rem,multiply-low,add-carry,divide-rem,halfword-swap,compare-select,short-circuit,gray-decode,endian-swap,add-carry,switch-phi,add-carry	0x1f48b525	https://github.com/embench/embench-iot
case_0065	fletcher32-words--mask-merge-multiply-low-add-carry-041	checksums	mask-merge,multiply-low,add-carry,endian-swap,multiply-low,divide-rem,counted-loop,counted-loop,counted-loop,array-scatter,gray-decode,endian-swap	0x8a2d7d6b	https://github.com/embench/embench-iot
case_0066	fletcher32-words--compare-select-multiply-low-add-carry-042	checksums	compare-select,multiply-low,add-carry,counted-loop,byte-pack,compare-select,carry-chain,switch-phi,mask-merge,gray-decode,endian-swap,mask-merge	0x22c46835	https://github.com/embench/embench-iot
case_0067	fletcher32-words--byte-pack-multiply-low-add-carry-043	checksums	byte-pack,multiply-low,add-carry,multiply-low,short-circuit,halfword-swap,minmax-clamp,carry-chain,counted-loop,reverse-loop,mask-merge,divide-rem	0xfedd0175	https://github.com/embench/embench-iot
case_0068	fletcher32-words--halfword-swap-multiply-low-add-carry-044	checksums	halfword-swap,multiply-low,add-carry,endian-swap,carry-chain,byte-pack,sub-borrow,carry-chain,array-scatter,endian-swap,switch-phi,halfword-swap	0x0cf7cea0	https://github.com/embench/embench-iot
case_0069	fletcher32-words--array-scatter-multiply-low-add-carry-045	checksums	array-scatter,multiply-low,add-carry,halfword-swap,popcount-loop,mask-merge,gray-decode,switch-phi,rotate-mix,short-circuit,multiply-low,endian-swap	0xda94a9ca	https://github.com/embench/embench-iot
case_0070	fletcher32-words--counted-loop-multiply-low-add-carry-046	checksums	counted-loop,multiply-low,add-carry,multiply-low,popcount-loop,gray-decode,byte-pack,carry-chain,sub-borrow,compare-select,sub-borrow,array-scatter	0x9bf78d63	https://github.com/embench/embench-iot
case_0071	fletcher32-words--switch-phi-multiply-low-add-carry-047	checksums	switch-phi,multiply-low,add-carry,reverse-loop,compare-select,array-scatter,endian-swap,switch-phi,reverse-loop,multiply-low,array-scatter,minmax-clamp	0x83e2664b	https://github.com/embench/embench-iot
case_0072	fletcher32-words--short-circuit-multiply-low-add-carry-048	checksums	short-circuit,multiply-low,add-carry,reverse-loop,halfword-swap,popcount-loop,reverse-loop,short-circuit,short-circuit,rotate-mix,add-carry,carry-chain	0x8cddf00a	https://github.com/embench/embench-iot
case_0073	fletcher32-words--popcount-loop-multiply-low-add-carry-049	checksums	popcount-loop,multiply-low,add-carry,byte-pack,switch-phi,horner-loop,divide-rem,mask-merge,multiply-low,horner-loop,short-circuit,byte-pack	0x85bcb435	https://github.com/embench/embench-iot
case_0074	fletcher32-words--reverse-loop-multiply-low-add-carry-04a	checksums	reverse-loop,multiply-low,add-carry,minmax-clamp,switch-phi,endian-swap,divide-rem,halfword-swap,add-carry,mask-merge,reverse-loop,byte-pack	0xe5ff30f9	https://github.com/embench/embench-iot
case_0075	adler32-bytes--gray-decode-multiply-low-add-carry-04b	checksums	gray-decode,multiply-low,add-carry,array-scatter,halfword-swap,multiply-low,counted-loop,endian-swap,horner-loop,short-circuit,counted-loop,counted-loop	0xe5e6f2b7	https://github.com/embench/embench-iot
case_0076	adler32-bytes--minmax-clamp-multiply-low-add-carry-04c	checksums	minmax-clamp,multiply-low,add-carry,byte-pack,compare-select,add-carry,switch-phi,endian-swap,divide-rem,switch-phi,divide-rem,compare-select	0x7a2a1fcc	https://github.com/embench/embench-iot
case_0077	adler32-bytes--endian-swap-multiply-low-add-carry-04d	checksums	endian-swap,multiply-low,add-carry,carry-chain,popcount-loop,carry-chain,mask-merge,divide-rem,horner-loop,reverse-loop,short-circuit,multiply-low	0xab3b898d	https://github.com/embench/embench-iot
case_0078	adler32-bytes--carry-chain-multiply-low-add-carry-04e	checksums	carry-chain,multiply-low,add-carry,array-scatter,array-scatter,add-carry,popcount-loop,array-scatter,short-circuit,divide-rem,counted-loop,horner-loop	0x27226c17	https://github.com/embench/embench-iot
case_0079	adler32-bytes--horner-loop-multiply-low-add-carry-04f	checksums	horner-loop,multiply-low,add-carry,add-carry,counted-loop,carry-chain,multiply-low,add-carry,switch-phi,endian-swap,rotate-mix,reverse-loop	0x698fec57	https://github.com/embench/embench-iot
case_0080	adler32-bytes--add-carry-divide-rem-add-carry-050	checksums	add-carry,divide-rem,add-carry,divide-rem,halfword-swap,divide-rem,popcount-loop,short-circuit,add-carry,divide-rem,counted-loop,compare-select	0x63dcbda6	https://github.com/embench/embench-iot
case_0081	adler32-bytes--sub-borrow-divide-rem-add-carry-051	checksums	sub-borrow,divide-rem,add-carry,sub-borrow,byte-pack,counted-loop,gray-decode,mask-merge,byte-pack,endian-swap,reverse-loop,multiply-low	0xa3d7cb2b	https://github.com/embench/embench-iot
case_0082	adler32-bytes--rotate-mix-divide-rem-add-carry-052	checksums	rotate-mix,divide-rem,add-carry,counted-loop,switch-phi,short-circuit,switch-phi,divide-rem,halfword-swap,switch-phi,add-carry,byte-pack	0x06e073f7	https://github.com/embench/embench-iot
case_0083	adler32-bytes--multiply-low-divide-rem-add-carry-053	checksums	multiply-low,divide-rem,add-carry,byte-pack,add-carry,rotate-mix,sub-borrow,sub-borrow,switch-phi,reverse-loop,divide-rem,compare-select	0xdbab0603	https://github.com/embench/embench-iot
case_0084	adler32-bytes--divide-rem-divide-rem-add-carry-054	checksums	divide-rem,divide-rem,add-carry,array-scatter,carry-chain,endian-swap,halfword-swap,mask-merge,divide-rem,sub-borrow,compare-select,carry-chain	0xe7f4305b	https://github.com/embench/embench-iot
case_0085	adler32-bytes--mask-merge-divide-rem-add-carry-055	checksums	mask-merge,divide-rem,add-carry,divide-rem,mask-merge,gray-decode,rotate-mix,halfword-swap,gray-decode,minmax-clamp,rotate-mix,byte-pack	0x82ef73ad	https://github.com/embench/embench-iot
case_0086	adler32-bytes--compare-select-divide-rem-add-carry-056	checksums	compare-select,divide-rem,add-carry,gray-decode,array-scatter,popcount-loop,rotate-mix,array-scatter,add-carry,rotate-mix,halfword-swap,gray-decode	0xce09cb5e	https://github.com/embench/embench-iot
case_0087	adler32-bytes--byte-pack-divide-rem-add-carry-057	checksums	byte-pack,divide-rem,add-carry,counted-loop,reverse-loop,byte-pack,halfword-swap,halfword-swap,switch-phi,horner-loop,short-circuit,rotate-mix	0x495e99a6	https://github.com/embench/embench-iot
case_0088	adler32-bytes--halfword-swap-divide-rem-add-carry-058	checksums	halfword-swap,divide-rem,add-carry,reverse-loop,short-circuit,multiply-low,switch-phi,switch-phi,array-scatter,carry-chain,array-scatter,short-circuit	0x7a2e7d53	https://github.com/embench/embench-iot
case_0089	adler32-bytes--array-scatter-divide-rem-add-carry-059	checksums	array-scatter,divide-rem,add-carry,switch-phi,horner-loop,array-scatter,endian-swap,counted-loop,compare-select,gray-decode,array-scatter,sub-borrow	0x95b23281	https://github.com/embench/embench-iot
case_0090	adler32-bytes--counted-loop-divide-rem-add-carry-05a	checksums	counted-loop,divide-rem,add-carry,minmax-clamp,switch-phi,byte-pack,sub-borrow,multiply-low,mask-merge,sub-borrow,multiply-low,mask-merge	0x976490a7	https://github.com/embench/embench-iot
case_0091	adler32-bytes--switch-phi-divide-rem-add-carry-05b	checksums	switch-phi,divide-rem,add-carry,popcount-loop,short-circuit,popcount-loop,gray-decode,rotate-mix,compare-select,divide-rem,switch-phi,halfword-swap	0x09230ae0	https://github.com/embench/embench-iot
case_0092	adler32-bytes--short-circuit-divide-rem-add-carry-05c	checksums	short-circuit,divide-rem,add-carry,horner-loop,rotate-mix,carry-chain,rotate-mix,rotate-mix,sub-borrow,multiply-low,endian-swap,minmax-clamp	0x72696080	https://github.com/embench/embench-iot
case_0093	adler32-bytes--popcount-loop-divide-rem-add-carry-05d	checksums	popcount-loop,divide-rem,add-carry,reverse-loop,sub-borrow,halfword-swap,short-circuit,horner-loop,carry-chain,counted-loop,mask-merge,popcount-loop	0x7f68eb0d	https://github.com/embench/embench-iot
case_0094	adler32-bytes--reverse-loop-divide-rem-add-carry-05e	checksums	reverse-loop,divide-rem,add-carry,sub-borrow,array-scatter,reverse-loop,divide-rem,reverse-loop,sub-borrow,short-circuit,horner-loop,popcount-loop	0xf37833e0	https://github.com/embench/embench-iot
case_0095	adler32-bytes--gray-decode-divide-rem-add-carry-05f	checksums	gray-decode,divide-rem,add-carry,minmax-clamp,rotate-mix,divide-rem,rotate-mix,multiply-low,rotate-mix,popcount-loop,gray-decode,halfword-swap	0x264ffd79	https://github.com/embench/embench-iot
case_0096	adler32-bytes--minmax-clamp-divide-rem-add-carry-060	checksums	minmax-clamp,divide-rem,add-carry,halfword-swap,mask-merge,horner-loop,counted-loop,array-scatter,switch-phi,add-carry,compare-select,horner-loop	0x019f4fd2	https://github.com/embench/embench-iot
case_0097	adler32-bytes--endian-swap-divide-rem-add-carry-061	checksums	endian-swap,divide-rem,add-carry,sub-borrow,compare-select,endian-swap,halfword-swap,add-carry,divide-rem,mask-merge,counted-loop,compare-select	0x4ecba92f	https://github.com/embench/embench-iot
case_0098	adler32-bytes--carry-chain-divide-rem-add-carry-062	checksums	carry-chain,divide-rem,add-carry,rotate-mix,counted-loop,switch-phi,add-carry,sub-borrow,horner-loop,horner-loop,divide-rem,reverse-loop	0xc36ee997	https://github.com/embench/embench-iot
case_0099	adler32-bytes--horner-loop-divide-rem-add-carry-063	checksums	horner-loop,divide-rem,add-carry,gray-decode,mask-merge,mask-merge,compare-select,divide-rem,add-carry,rotate-mix,add-carry,byte-pack	0x9961c473	https://github.com/embench/embench-iot
case_0100	fnv1a-stream--add-carry-mask-merge-add-carry-064	hashing	add-carry,mask-merge,add-carry,sub-borrow,byte-pack,reverse-loop,multiply-low,halfword-swap,horner-loop,mask-merge,counted-loop,switch-phi	0xe58ea2fe	https://llvm.org/docs/TestingGuide.html#test-suite-overview
case_0101	fnv1a-stream--sub-borrow-mask-merge-add-carry-065	hashing	sub-borrow,mask-merge,add-carry,short-circuit,halfword-swap,halfword-swap,array-scatter,mask-merge,divide-rem,minmax-clamp,counted-loop,rotate-mix	0x57892c93	https://llvm.org/docs/TestingGuide.html#test-suite-overview
case_0102	fnv1a-stream--rotate-mix-mask-merge-add-carry-066	hashing	rotate-mix,mask-merge,add-carry,gray-decode,halfword-swap,counted-loop,endian-swap,divide-rem,switch-phi,carry-chain,minmax-clamp,counted-loop	0xdd0e8c92	https://llvm.org/docs/TestingGuide.html#test-suite-overview
